id,университет,название дисциплины,знать,уметь,владеть,описание разделов,аннотации
22,0,Управление ИТ-сервисами и контентом,"основные процессы формализации взаимоотношений с клиентами и партнерами в процессе внедрения ит-сервисов. 
основные принципы внедрения, управления и контроля ит-сервисов, основные понятия и определения, сформулированные в документах по управлению ит. 
Основные стандарты и документы в сфере ит, отвечающие за ит-аудит. 
 ","применять данные знания для практических проектов внедрения, учитывая специфику компаний. 
применять данные из документов по управлению ит на практике. 
Применять данные из документов по обследованию ит-инфраструктуры на практике. 
 ",навыками формализации взаимоотношений при решении задач управления ит-сервисами и контентом.  навыками формализации процессов управления ит-сервисами.  навыками формализации процессов обследования ит-инфраструктуры. ,"Общие сведения о современных ИТ-сервисах и трендах в ИТ.
Специфика ИТ-сервисов. Методологии ИТ для управления ИС. Управление контентом.	
Применение ИТ-сервисов для бизнеса. Планирование, управление, развитие.	","Цель курса ""Управление ИТ-сервисами и контетом"" состоит в том,  чтобы дать студентам знания по основам теории и практики в области проектирования информационных систем с использованием современных методов и средств создания информационных систем. Задачами изучения дисциплины являются: ознакомить студента с существующими подходами, методологиями проектирования и развития информационных систем; ознакомить с современным рынком инструментов проектирования информационных систем различной сложности, используемых на различных стадиях разработки; научить исследовать предметную область; выбирать технологии проектирования и выявлять недостатки существующих технологийобработки данных; ставить и решать проблему автоматизации решения поставленных задач."
92,2,Б1.Б.11 Базы данных ,"уровни представления данных
основные модели данных, используемые в промышленных субд
принципы организации современных субд и построения бд
элементы теории реляционных баз данных
методику проектирования бд.
назначение и основные компоненты систем баз данных
операторы sql для построения запросов и управления данными реляционных баз
Операторы языка программирования pl/sql.

 ","разрабатывать структуру реляционной базы данных
создавать структуру реляционной базы данных без использования интерактивных средств субд.
Создавать сложные запросы на языке sql и программы (скрипты) на языке pl/sql для обработки данных в реляционных базах данных.

 ","использованию субд oracle. 
Утилитами sqlplus для создания и администрирования централизованных бд в субд oracle. ",,"Целями освоения дисциплины Базы данных являются усвоение ряда фундаментальных понятий и теоретических основ организации баз данных и систем управления базами данных, а также их программирование:формирование у студентов понимания основных понятий представления данных и интегрирования данных;изучение моделей организации работы пользователей с базой данных;знакомство с программным интерфейсом для взаимодействия с СУБД;моделирование базы данных (моделирование внешних представлений, концептуальное моделирование, моделирование структур хранения);изучение элементов теории реляционных баз данных (РБД);знакомство с принципами построения СУБД;изучение основ структурного языка запросов SQL и его процедурного расширения PLSQL.В задачи курса входит изучение процесса проектирования базы данных, включающего:составление формализованного описания предметной области (внешней модели);разработку концептуальной модели и ее специфицирование к конкретной модели данных СУБД;анализ моделей физического представления данных;изучение основ структурного языка запросов SQL;изучение языка программирования PL/SQL."
93,2,Cети ЭВМ и Телекоммуникации.,"основные концепции и методы разработки моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина""
Современные технологии вычислительных сетей при реализации удаленного доступа в системах клиент/сервер	  ","решать типовые задачи по разработке моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина""
Спроектировать  вычислительную сеть для обеспечения удаленного доступа в системах клиент/сервер
 ","навыками разработки моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина"" современенными инструментами автоматического проектирования вычислительных сетей для клиент/серверных систем ",Современные основы построения сетей передачи данных Технологии обеспечивающие клиент-серверную архитектуру,"Цель курса «Сети ЭВМ и телекоммуникации» − проектирование программных и аппаратных средств и систем с применения современных технологий передачи данных, удаленного доступа, клиент-серверной архитектурыЗадачи дисциплины:формирование  знаний  о сетях передачи данных, необходимых для  проектировании программных и аппаратных средств;формирование знаний о системах удаленного доступа и технологиях обеспечивающих к информации в сети интернет;  получения навыков проектирования локальных сетей передачи данных;приобретение умения работать с системами автоматизации проектирования сетей передачи данных."
94,2,Основы программирования (С) ,"основные концепции и методы разработки моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина""
код
oсновные концепции и методы разработки компонентов аппаратно-программных комплексов и баз данных, используя современные инструментальные средства и технологии программирования
код 
 ","решать типовые задачи по разработке моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина""

Решать типовые задачи по разработке компонентов аппаратно-программных комплексов и баз данных, используя современные инструментальные средства и технологии программирования

 ","навыками разработки моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина"" навыками разработки компонентов аппаратно-программных комплексов и баз данных, используя современные инструментальные средства и технологии программирования ","
","Целью данной дисциплины является введение в проблематику, связанную с изучением языков программирования, методов разработки алгоритмов и программ и методов реализации языков программирования.Задачи дисчиплины:проектно-конструкторской деятельности, проектирование программных и аппаратных средств (систем, устройств, деталей, программ, баз данных) в соответствии с техническим заданием с использованием средств автоматизации проектированияпроектно-технологической деятельности, применение современных инструментальных средств при разработке программного обеспечения."
95,2,Основы программирования (Delphi) ,"основные концепции и методы разработки моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина""
код 
основные концепции и методы разработки компонентов аппаратно-программных комплексов и баз данных, используя современные инструментальные средства и технологии программирования
Код
 ","решать типовые задачи по разработке моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина""
Решать типовые задачи по разработке компонентов аппаратно-программных комплексов и баз данных, используя современные инструментальные средства и технологии программирования
 ","навыками разработки моделей компонентов информационных систем, включая модели баз данных и модели и интерфейсов ""человек - электронно-вычислительная машина"" навыками разработки компонентов аппаратно-программных комплексов и баз данных, используя современные инструментальные средства и технологии программирования ",,"Целью данной дисциплины является введение в проблематику, связанную с изучением языков программирования, методов разработки алгоритмов и программ и методов реализации языков программирования.Задачи дисчиплины:проектно-конструкторской деятельности, проектирование программных и аппаратных средств (систем, устройств, деталей, программ, баз данных) в соответствии с техническим заданием с использованием средств автоматизации проектированияпроектно-технологической деятельности, применение современных инструментальных средств при разработке программного обеспечения."
96,2,"Б1.Б.19  метрологиЯ, стандартизация ","основные физические величины и физические константы, их определение, смысл, способы и единицы их измерения
специальную литературу и другую научно-техническую информацию в области измерительной техники и технологии. 
новейшие достижения в профессиональной области, для чего участвовать в проведении научных исследований или в выполнении технических разработок, во внедрении результатов исследований и разработок 
                                        
 
 "," 
правильно эксплуатировать  основные средства измерений, а также современные приборы и оборудование.
 
объяснить основные наблюдаемые природные и техногенные явления и эффекты и указать, какие законы описывают данное явление или эффект
собирать, обрабатывать, анализировать и  систематизировать научно-техническую информацию по теме (заданию) и составлять отчеты по теме или ее разделу.
 "," 
методами  математического моделирования и применять методы физико-математического анализа к решению конкретных естественнонаучных и технических задач.  
приемами обработки и интерпретирования результатов экспериментальных измерений.
 знать об основах обработки результатов измерений и методах получения достоверных результатов
назначение и принципы действия важнейших физических приборов, установок для измерений.
 ",,"Целью изучения дисциплины «Метрология, стандартизация и сертификация» является формирование у студентов знаний, умений и навыков в этих областях, их применения при решении задач, возникающих в последующей профессиональной деятельности  при анализе прикладных задач, уметь собирать, обрабатывать, анализировать и  систематизировать научно-техническую информацию, пользоваться  нормативный документацией,  иметь понятия о межгосударственной системе стандартизации (ИСО)."
97,2,Б1.В.ОД.12 Научно-практический семинар,"основные нормы современного русского языка (орфографические, пунктуационные, грамматические, стилистические, орфоэпические, лексические).
основные лексические, грамматические, орфоэпические, фонетические нормы, изучаемого иностранного языка. 
культурные особенности стран, изучаемых языков.

","выявить основные цели и задаци при разработке информационной системы
","инструментами создания презентаций информационных систем	
Способностью решать стандартные задачи профессиональной деятельности на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий и с учетом основных требований информационной безопасности	знать основные методики и технологии использования икт в профессиональной деятельности с учетом основных требований информационной безопасности и библиографической культуры

уметь декомпозировать задачу разработки информационной системы на подзадачи
",,Цель курса «Научно-практический семинар» − выработка практических навыков коммуникации для решения задач профессионального взаимодействия и способностей решать задачи проектирования систем на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий Задачи дисциплины:формирование  практических навыков коммуникации для решения задач профессионального взаимодействия
98,2,Управление программными проектами,"концепции построения проектного плана для разделения разработки по на компоненты и блоки.
 ","строить проектный план и вести отслеживание хода работ по нему.
 ",навыками построения проектного плана с декомпозицией разработки на компоненты и блоки. ,,"Целями освоения дисциплины (модуля) Управление программными проектами является освоение студентами теории управления проектами и обучение составлению, анализу и оптимизации проектного плана. В ходе освоения дисциплины (модуля) студенты получат навыки разработки проектного плана, оценки стоимости проекта, анализа требований пользователей и их декомпозиции на требования разработчиков."
99,2,Тестирование и отладка программного обеспечения,"принципы тестирования по.
 ","проводить тестирование по различных уровней и анализировать их результаты.
 ",навыками и знаниями для проведения всех видов тестирования по. ,,Целями освоения дисциплины (модуля) Тестирование и отладка программного обеспечения является освоение студентами теоретических основ тестирования и отладки программного обеспечения и получения навыков работы с программным обеспечением для разработки тестов и тестовых сценариев для различных видов тестирования. 
100,2,Б1.В.ОД.9 Сетевые технологии,"основные методики и технологии использования икт в профессиональной деятельности с учетом основных требований информационной безопасности и библиографической культуры
теоретические основы построения беспроводных вычислительных сетей для проектирование систем, устройств,  программ, баз данных в соответствии с техническим заданием с использованием средств автоматизации проектирования	
Современные технологии беспроводных сетей при реализации удаленного доступа в системах клиент/сервер	  ","декомпозировать задачу разработки информационной системы на подзадачи
использовать устройства и средства канального и физического уровня для построения беспроводных сетей передачи данных	
спроектировать беспроводную вычислительную сеть для обеспечения удаленного доступа в системах клиент/сервер
 ",навыками выявления бизнес процессов исследуемого объекта  навыками настройки беспроводных компьютерных сетей современенными инструментами автоматического проектирования беспроводных сетей для клиент/серверных систем ,,"Цель курса «Сетевые технологии» − проектирование программных и аппаратных средств и систем с применения современных технологий беспроводной передачи данных, удаленного доступа, клиент-серверной архитектурыЗадачи дисциплины:формирование  знаний  о беспроводных сетях передачи данных, необходимых для  проектировании программных и аппаратных средств;формирование знаний о системах удаленного доступа и технологиях обеспечивающих к информации в сети интернет;  получения навыков проектирования беспроводных локальных сетей передачи данных;приобретение умения работать с системами автоматизации проектирования беспроводных сетей передачи данных."
